Name,Free,Paid,Total,Paid(Rs.)
Project A Smart Approach Towards Lifestyle in Nepal,48,10,58,50
Project Solar Wiper,3,0,3,0
Project CNC Drawing Machine,18,5,23,25
Project Smart Fire Detector,18,0,18,0
Project Tesla Coil,10,0,10,0
Earthquake Instance Information,2,0,2,0
Project Accident Alert System,23,5,28,25
Project Femicoders,21,0,21,0
Project Hexapod,13,0,13,0
Project Library App,27,5,32,25
Project LCR Meter,5,0,5,0
Project Home Automation,17,0,17,0
Project Alexa Pi,99,25,124,125
Project TeeForges,14,0,14,0
Project Fire Robo,16,110,126,550
Project 3 in 1 Cartesian 3D Printer,81,3120,3201,15600
Project EMG Contolled Prosthetic Arm,13,5,18,25
Project Green City,37,10,47,50
Project Hand Gesture Control Car,6,0,6,0
Project Online Entrance System ( IOE Entrance),16,0,16,0
Project Target Shooter,6,5,11,25
Project Immune,99,95,194,475
Project Solar Powered Water Surface Garbage Collecting Boat,8,5,13,25
Project IOT Based Smart Agriculture System,15,0,15,0
Project Chicken Farm Monitoring System,0,5,5,25
Project P.I.M.P.,19,10,29,50
Project IRB -Robo Arm,24,0,24,0
Project EN SAT,18,5,23,25
Project Robotic Arm for 3D Analysis,0,5,5,25
Project Street Light Automation,6,0,6,0
Project Bhakari Shopping Nepal,34,3500,3534,17500
Project Automatic Rechargaeble Stove,12,0,12,0
Project 2D CNC Plotter,6,0,6,0
Project Margadarshan,4,0,4,0
Project Health and Environment Checker,70,5,75,25
Project Ghadi,7,5,12,25
Project CNC Router,23,5,28,25
Project Residential Drainage Water Purification System,15,5,20,25
Project Project -N,7,100,107,500
Project Medico,2,0,2,0
Project Automatic Irrigation System,6,5,11,25
Project Trivram,3,0,3,0
Project Cable Fault Distance Finder,4,0,4,0
Project Structural Dote,4,0,4,0
Project Under Ground Fault Detector,7,0,7,0
Project Kissan,5,5,10,25
Project Food Detection,1,0,1,0
Project Arduino Based Natural Gas Detector,1,0,1,0
Project ATM Alert,3,0,3,0
Project Deforestation,1,0,1,0
Project मनसा- The Nepali Programming Language,2,0,2,0
Project Wireless Digital Oscilloscope,1,0,1,0
Project Classroom Attendance using facial recognition,5,0,5,0
Project Plant -e,4,0,4,0
Project Atomatable Robotic Arm,1,0,1,0
Project Crowd Analyzer,1,0,1,0
Project Self Balancing Platform,2,0,2,0
Project Locus Documentation 2020,6,0,6,0
Project Relay Ride System,1,0,1,0
Project Safa-e,1,0,1,0
Project IOT Based Alcohol Detection system for drivers,1,0,1,0
Project Mero Smart Farm,3,5,8,25
Total,925,7060,7985,35300
